date,cpi,unemp
2016-04-01,100.483413902317,6.13333333333333
2016-07-01,101.050175029172,6.03333333333333
2016-10-01,100.983497249542,6
2017-01-01,101.083513918987,5.86666666666667
2017-04-01,101.916986164361,5.73333333333333
2017-07-01,102.617102850475,5.63333333333333
2017-10-01,102.417069511585,5.53333333333333
2018-01-01,102.417069511585,5.36666666666667
2018-04-01,103.683947324554,5.23333333333333
2018-07-01,104.550758459743,5.13333333333333
2018-10-01,104.450741790298,5.06666666666667
2019-01-01,103.817302883814,4.96666666666667
2019-04-01,105.450908484747,4.96666666666667
2019-07-01,106.084347391232,5
2019-10-01,105.750958493082,5
2020-01-01,105.517586264377,5
2020-04-01,106.251041840307,6.13333333333333
2020-07-01,105.984330721787,6.33333333333333
2020-10-01,105.484247374562,6.16666666666667
2021-01-01,106.951158526421,6
2021-04-01,108.684780796799,5.9
